"","CL=F.Open","CL=F.High","CL=F.Low","CL=F.Close","CL=F.Volume","CL=F.Adjusted"
"2011-01-03",91.309998,92.580002,91.209999,91.550003,225189,91.550003
"2011-01-04",91.5,92.07,88.360001,89.379997,415521,89.379997
"2011-01-05",89.290001,90.839996,88.099998,90.300003,416908,90.300003
"2011-01-06",90.470001,90.709999,87.849998,88.379997,440456,88.379997
"2011-01-07",88.18,89.480003,87.25,88.029999,444813,88.029999
"2011-01-10",89,89.980003,88.129997,89.25,430277,89.25
"2011-01-11",89.309998,91.389999,88.93,91.110001,429761,91.110001
"2011-01-12",91.18,92.389999,90.790001,91.860001,382686,91.860001
"2011-01-13",92,92.370003,90.75,91.400002,358898,91.400002
"2011-01-14",90.989998,91.690002,90.099998,91.540001,313331,91.540001
"2011-01-18",91.510002,91.900002,90.550003,91.379997,211930,91.379997
"2011-01-19",91.339996,92.099998,90.470001,90.860001,109525,90.860001
"2011-01-20",90.699997,90.860001,88,88.860001,442041,88.860001
"2011-01-21",89.449997,90.220001,88.870003,89.110001,287810,89.110001
"2011-01-24",89.260002,89.629997,87.269997,87.870003,356085,87.870003
"2011-01-25",87.699997,87.849998,86.120003,86.190002,338646,86.190002
"2011-01-26",86.230003,87.779999,86.029999,87.330002,347753,87.330002
"2011-01-27",87.550003,87.660004,85.419998,85.639999,369379,85.639999
"2011-01-28",85.279999,89.730003,85.110001,89.339996,584789,89.339996
"2011-01-31",89.970001,92.839996,88.400002,92.190002,436801,92.190002
"2011-02-01",92.199997,92.449997,90.440002,90.769997,392882,90.769997
"2011-02-02",90.510002,91.779999,90.099998,90.860001,312107,90.860001
"2011-02-03",90.93,92.050003,90,90.540001,290494,90.540001
"2011-02-04",90.629997,91.669998,88.449997,89.029999,359925,89.029999
"2011-02-07",89.059998,89.540001,87.18,87.480003,324984,87.480003
"2011-02-08",87.410004,88.110001,85.879997,86.940002,414877,86.940002
"2011-02-09",87.349998,87.949997,86.360001,86.709999,367209,86.709999
"2011-02-10",86.93,87.900002,85.959999,86.730003,419188,86.730003
"2011-02-11",87.699997,87.769997,85.099998,85.580002,383391,85.580002
"2011-02-14",85.5,86.519997,84.580002,84.809998,319329,84.809998
"2011-02-15",84.839996,85.970001,83.849998,84.32,284165,84.32
"2011-02-16",84.440002,85.949997,84.120003,84.989998,297660,84.989998
"2011-02-17",85.25,86.629997,84.379997,86.360001,176128,86.360001
"2011-02-18",86.400002,87.879997,85.650002,86.199997,155296,86.199997
"2011-02-22",86.379997,94.489998,86.25,93.57,638193,93.57
"2011-02-23",95.68,100,95.139999,98.099998,489667,98.099998
"2011-02-24",98.970001,103.410004,95.620003,97.279999,507456,97.279999
"2011-02-25",96.629997,99.199997,96.169998,97.879997,307903,97.879997
"2011-02-28",98.5,99.959999,96.709999,96.970001,262001,96.970001
"2011-03-01",96.970001,100.68,96.370003,99.629997,322429,99.629997
"2011-03-02",100.480003,102.43,99.209999,102.230003,446378,102.230003
"2011-03-03",102.389999,102.940002,100.150002,101.910004,382555,101.910004
"2011-03-04",101.699997,105.169998,101.540001,104.419998,369148,104.419998
"2011-03-07",104.650002,106.949997,104.25,105.440002,404435,105.440002
"2011-03-08",104.849998,105.790001,103.330002,105.019997,420036,105.019997
"2011-03-09",104.959999,105.919998,103.900002,104.379997,353948,104.379997
"2011-03-10",104.449997,105.059998,100.620003,102.699997,432988,102.699997
"2011-03-11",102.639999,103,99.010002,101.160004,342531,101.160004
"2011-03-14",100.309998,101.599998,98.470001,101.190002,289434,101.190002
"2011-03-15",101.860001,101.870003,96.709999,97.18,388736,97.18
"2011-03-16",97.400002,99.599998,96.220001,97.980003,357944,97.980003
"2011-03-17",98.099998,101.989998,96.599998,101.419998,261573,101.419998
"2011-03-18",101.779999,103.660004,100.139999,101.07,217675,101.07
"2011-03-21",102.120003,103.349998,101.660004,102.330002,103960,102.330002
"2011-03-22",102.099998,104.540001,101.43,104,303365,104
"2011-03-23",104.849998,106.339996,104.379997,105.75,254571,105.75
"2011-03-24",105.519997,106.690002,104.760002,105.599998,258015,105.599998
"2011-03-25",105.459999,105.949997,104.5,105.400002,235658,105.400002
"2011-03-28",105.43,105.760002,103.599998,103.980003,223079,103.980003
"2011-03-29",103.940002,105,102.699997,104.790001,246824,104.790001
"2011-03-30",104.449997,105.150002,103.440002,104.269997,256895,104.269997
"2011-03-31",104.309998,106.830002,104.120003,106.720001,270630,106.720001
"2011-04-01",106.620003,108.230003,106.300003,107.940002,283710,107.940002
"2011-04-04",108.290001,108.779999,107.580002,108.470001,228494,108.470001
"2011-04-05",108.199997,108.599998,107.5,108.339996,249358,108.339996
"2011-04-06",107.989998,109.150002,107.720001,108.830002,255598,108.830002
"2011-04-07",108.669998,110.440002,108.230003,110.300003,334906,110.300003
"2011-04-08",110.32,113.18,110.110001,112.790001,319475,112.790001
"2011-04-11",113.279999,113.459999,108.879997,109.919998,364348,109.919998
"2011-04-12",108.970001,110.239998,105.470001,106.25,555625,106.25
"2011-04-13",106.019997,107.43,105.309998,107.110001,456863,107.110001
"2011-04-14",107.32,108.550003,105.769997,108.110001,352072,108.110001
"2011-04-15",108.449997,110.099998,107.209999,109.660004,224394,109.660004
"2011-04-18",109.43,109.440002,106.540001,107.120003,138178,107.120003
"2011-04-19",107.519997,108.449997,105.5,108.150002,324778,108.150002
"2011-04-20",108.449997,111.660004,107.959999,111.449997,291546,111.449997
"2011-04-21",111.370003,112.480003,111,112.290001,240462,112.290001
"2011-04-25",112.339996,113.480003,111.080002,112.279999,209683,112.279999
"2011-04-26",112.150002,112.639999,111.120003,112.209999,234441,112.209999
"2011-04-27",111.889999,113.400002,110.709999,112.760002,338697,112.760002
"2011-04-28",113.129997,113.970001,111.690002,112.860001,301604,112.860001
"2011-04-29",112.82,114.18,112.25,113.93,201831,113.93
"2011-05-02",113.889999,114.830002,110.82,113.519997,310994,113.519997
"2011-05-03",112.980003,113.220001,110.300003,111.050003,300333,111.050003
"2011-05-04",110.68,111.220001,108.480003,109.239998,333018,109.239998
"2011-05-05",108.779999,109.379997,98.25,99.800003,670082,99.800003
"2011-05-06",99.760002,102.379997,94.629997,97.18,606528,97.18
"2011-05-09",98.110001,103.400002,97.419998,102.550003,469290,102.550003
"2011-05-10",102.440002,103.949997,100.120003,103.879997,439607,103.879997
"2011-05-11",103.690002,104.599998,97.5,98.209999,524761,98.209999
"2011-05-12",98.589996,100.489998,95.25,98.970001,522503,98.970001
"2011-05-13",98.809998,100.699997,97.089996,99.650002,367717,99.650002
"2011-05-16",99.360001,99.650002,96.889999,97.370003,335318,97.370003
"2011-05-17",96.980003,97.809998,95.019997,96.910004,399128,96.910004
"2011-05-18",97.57,100.989998,97.459999,100.099998,285299,100.099998
"2011-05-19",99.760002,100.790001,98.160004,98.440002,142668,98.440002
"2011-05-20",98.599998,99.900002,95.989998,99.489998,394911,99.489998
"2011-05-23",99.68,100.040001,96.370003,97.699997,296828,97.699997
"2011-05-24",97.540001,100.089996,96.610001,99.589996,339530,99.589996
"2011-05-25",99.269997,101.629997,98.199997,101.32,354880,101.32
"2011-05-26",101.239998,101.900002,99.610001,100.230003,332135,100.230003
"2011-05-27",100.160004,101.239998,100.040001,100.589996,212254,100.589996
"2011-05-31",100.690002,103.389999,99.599998,102.699997,319037,102.699997
"2011-06-01",102.68,103.309998,99.860001,100.290001,376476,100.290001
"2011-06-02",99.790001,100.900002,98.459999,100.400002,389637,100.400002
"2011-06-03",100.870003,100.870003,98.120003,100.220001,351309,100.220001
"2011-06-06",100.419998,100.68,98.550003,99.010002,289670,99.010002
"2011-06-07",98.82,99.699997,97.739998,99.089996,415373,99.089996
"2011-06-08",99.580002,101.889999,98.019997,100.739998,484275,100.739998
"2011-06-09",100.830002,102.440002,100.739998,101.93,345542,101.93
"2011-06-10",101.839996,102.150002,98.599998,99.290001,379238,99.290001
"2011-06-13",98.769997,99.32,96.129997,97.300003,381993,97.300003
"2011-06-14",97.089996,99.440002,96.510002,99.370003,347721,99.370003
"2011-06-15",99.68,99.949997,94.010002,94.809998,508717,94.809998
"2011-06-16",95.290001,95.75,94.290001,94.949997,336011,94.949997
"2011-06-17",95.099998,95.400002,91.839996,93.010002,245013,93.010002
"2011-06-20",92.800003,93.489998,91.139999,93.260002,136837,93.260002
"2011-06-21",93.489998,94.739998,92.5,93.400002,323911,93.400002
"2011-06-22",93.760002,95.699997,93.239998,95.410004,296275,95.410004
"2011-06-23",94.400002,94.470001,89.690002,91.019997,484057,91.019997
"2011-06-24",92.290001,92.339996,89.82,91.160004,337767,91.160004
"2011-06-27",91.160004,91.300003,89.610001,90.610001,278681,90.610001
"2011-06-28",90.709999,92.959999,90.440002,92.889999,279024,92.889999
"2011-06-29",93.370003,95.839996,92.660004,94.769997,348790,94.769997
"2011-06-30",95.080002,95.82,93.879997,95.419998,276580,95.419998
"2011-07-01",95.120003,95.389999,93.449997,94.940002,263626,94.940002
"2011-07-05",94.980003,97.480003,94.339996,96.889999,275650,96.889999
"2011-07-06",97,97.790001,95.900002,96.650002,288321,96.650002
"2011-07-07",97.040001,99.419998,96.989998,98.669998,339270,98.669998
"2011-07-08",98.790001,99.18,95.599998,96.199997,347999,96.199997
"2011-07-11",96.099998,96.75,94.139999,95.150002,311449,95.150002
"2011-07-12",95.089996,97.5,93.550003,97.43,343493,97.43
"2011-07-13",96.720001,99.209999,96.529999,98.050003,355098,98.050003
"2011-07-14",97.589996,98.879997,94.529999,95.690002,403419,95.690002
"2011-07-15",96.029999,97.739998,95.209999,97.239998,266461,97.239998
"2011-07-18",97.370003,97.690002,94.690002,95.93,203973,95.93
"2011-07-19",96.160004,98.650002,95.93,97.5,138045,97.5
"2011-07-20",98.110001,99.019997,96.639999,98.139999,295669,98.139999
"2011-07-21",98.360001,100.160004,97.199997,99.129997,293973,99.129997
"2011-07-22",99.199997,100.190002,98.43,99.870003,223266,99.870003
