"","EURUSD=X.Open","EURUSD=X.High","EURUSD=X.Low","EURUSD=X.Close","EURUSD=X.Volume","EURUSD=X.Adjusted"
"2011-01-03",1.335595,1.336505,1.325293,1.335791,0,1.335791
"2011-01-04",1.336005,1.343093,1.331824,1.335684,0,1.335684
"2011-01-05",1.332392,1.332392,1.312905,1.332108,0,1.332108
"2011-01-06",1.316101,1.317037,1.303373,1.315686,0,1.315686
"2011-01-07",1.298904,1.302134,1.293895,1.297993,0,1.297993
"2011-01-10",1.289807,1.294834,1.287714,1.289507,0,1.289507
"2011-01-11",1.295908,1.2986,1.291005,1.296496,0,1.296496
"2011-01-12",1.2986,1.306319,1.296664,1.298398,0,1.298398
"2011-01-13",1.312801,1.335292,1.309192,1.312836,0,1.312836
"2011-01-14",1.335113,1.344899,1.332605,1.335327,0,1.335327
"2011-01-17",1.337614,1.337614,1.325293,1.338025,0,1.338025
"2011-01-18",1.328374,1.346112,1.325592,1.328392,0,1.328392
"2011-01-19",1.338169,1.353675,1.338169,1.337811,0,1.337811
"2011-01-20",1.345316,1.351808,1.340303,1.345207,0,1.345207
"2011-01-21",1.346566,1.358899,1.345098,1.346801,0,1.346801
"2011-01-24",1.362194,1.368008,1.354701,1.361953,0,1.361953
"2011-01-25",1.364405,1.368401,1.357589,1.364405,0,1.364405
"2011-01-26",1.368794,1.371761,1.36502,1.368607,0,1.368607
"2011-01-27",1.370802,1.375629,1.364294,1.371009,0,1.371009
"2011-01-28",1.372495,1.374703,1.3616,1.372307,0,1.372307
"2011-01-31",1.357607,1.373796,1.357294,1.357276,0,1.357276
"2011-02-01",1.371498,1.379329,1.370483,1.371385,0,1.371385
"2011-02-02",1.382782,1.386001,1.378151,1.382992,0,1.382992
"2011-02-03",1.381578,1.382457,1.361897,1.381788,0,1.381788
"2011-02-04",1.362899,1.364759,1.354591,1.362454,0,1.362454
"2011-02-07",1.357515,1.362639,1.351004,1.357497,0,1.357497
"2011-02-08",1.359416,1.367465,1.357405,1.359194,0,1.359194
"2011-02-09",1.362324,1.371893,1.361211,1.362695,0,1.362695
"2011-02-10",1.371893,1.372816,1.358142,1.3721,0,1.3721
"2011-02-11",1.360544,1.362157,1.350986,1.360193,0,1.360193
"2011-02-14",1.351516,1.355896,1.343165,1.351004,0,1.351004
"2011-02-15",1.348309,1.354701,1.346203,1.348109,0,1.348109
"2011-02-16",1.349601,1.356797,1.346547,1.349856,0,1.349856
"2011-02-17",1.357663,1.361063,1.353894,1.357534,0,1.357534
"2011-02-18",1.362212,1.364517,1.354793,1.362602,0,1.362602
"2011-02-21",1.371366,1.371366,1.365001,1.371347,0,1.371347
"2011-02-22",1.36812,1.370051,1.352795,1.368232,0,1.368232
"2011-02-23",1.367409,1.378398,1.367409,1.367372,0,1.367372
"2011-02-24",1.375781,1.381693,1.370802,1.376406,0,1.376406
"2011-02-25",1.382208,1.383796,1.372476,1.381998,0,1.381998
"2011-02-28",1.373608,1.385329,1.37131,1.373438,0,1.373438
"2011-03-01",1.382743,1.385291,1.378835,1.382151,0,1.382151
"2011-03-02",1.376955,1.389005,1.374457,1.377183,0,1.377183
"2011-03-03",1.386751,1.397507,1.383451,1.386655,0,1.386655
"2011-03-04",1.395907,1.400697,1.3947,1.395888,0,1.395888
"2011-03-07",1.398875,1.403607,1.395888,1.399071,0,1.399071
"2011-03-08",1.396492,1.398993,1.386809,1.396394,0,1.396394
"2011-03-09",1.389449,1.394078,1.385905,1.389796,0,1.389796
"2011-03-10",1.390473,1.392506,1.379501,1.390221,0,1.390221
"2011-03-11",1.3803,1.384236,1.375421,1.380129,0,1.380129
"2011-03-14",1.393476,1.397937,1.390666,1.393456,0,1.393456
"2011-03-15",1.399032,1.400011,1.385809,1.399208,0,1.399208
"2011-03-16",1.398562,1.40007,1.391498,1.398621,0,1.398621
"2011-03-17",1.388407,1.404692,1.388407,1.388484,0,1.388484
"2011-03-18",1.403509,1.414547,1.398328,1.403292,0,1.403292
"2011-03-21",1.416792,1.420192,1.414587,1.417053,0,1.417053
"2011-03-22",1.421848,1.424806,1.418078,1.421707,0,1.421707
"2011-03-23",1.417254,1.421403,1.411094,1.416812,0,1.416812
"2011-03-24",1.410855,1.42102,1.4056,1.410596,0,1.410596
"2011-03-25",1.416972,1.419366,1.411373,1.417193,0,1.417193
"2011-03-28",1.402505,1.411433,1.402406,1.402603,0,1.402603
"2011-03-29",1.407717,1.415008,1.405106,1.407975,0,1.407975
"2011-03-30",1.411293,1.412908,1.405402,1.411114,0,1.411114
"2011-03-31",1.41219,1.423305,1.411891,1.41213,0,1.41213
"2011-04-01",1.416009,1.421504,1.40647,1.415869,0,1.415869
"2011-04-04",1.422394,1.426859,1.419487,1.422333,0,1.422333
"2011-04-05",1.421929,1.423285,1.415609,1.42201,0,1.42201
"2011-04-06",1.42201,1.4347,1.42201,1.421909,0,1.421909
"2011-04-07",1.43361,1.43361,1.424806,1.433527,0,1.433527
"2011-04-08",1.430104,1.444314,1.429307,1.430206,0,1.430206
"2011-04-11",1.44609,1.448331,1.442169,1.446215,0,1.446215
"2011-04-12",1.443439,1.451695,1.438042,1.443793,0,1.443793
"2011-04-13",1.447492,1.451927,1.445776,1.447639,0,1.447639
"2011-04-14",1.444607,1.451505,1.436844,1.44421,0,1.44421
"2011-04-15",1.448604,1.450495,1.439429,1.44321,0,1.44321
"2011-04-18",1.441691,1.442003,1.416591,1.441296,0,1.441296
"2011-04-19",1.422273,1.432809,1.420757,1.422394,0,1.422394
"2011-04-20",1.433897,1.453953,1.43361,1.433795,0,1.433795
"2011-04-21",1.4514,1.464794,1.450873,1.4514,0,1.4514
"2011-04-22",1.455307,1.458896,1.4537,1.455498,0,1.455498
"2011-04-25",1.455519,1.462566,1.453045,1.45571,0,1.45571
"2011-04-26",1.45779,1.464901,1.449969,1.457896,0,1.457896
"2011-04-27",1.46899,1.470999,1.463807,1.468795,0,1.468795
"2011-04-28",1.478,1.488206,1.477847,1.478,0,1.478
"2011-04-29",1.484296,1.487896,1.480494,1.484406,0,1.484406
"2011-05-02",1.48056,1.490246,1.477127,1.479399,0,1.479399
"2011-05-03",1.482492,1.488738,1.475797,1.482382,0,1.482382
"2011-05-04",1.483503,1.493808,1.477891,1.483327,0,1.483327
"2011-05-05",1.482404,1.489736,1.45813,1.482975,0,1.482975
"2011-05-06",1.454017,1.458704,1.446697,1.45444,0,1.45444
"2011-05-09",1.434597,1.444043,1.425801,1.435297,0,1.435297
"2011-05-10",1.437546,1.439408,1.427491,1.437608,0,1.437608
"2011-05-11",1.441109,1.442231,1.426574,1.441109,0,1.441109
"2011-05-12",1.421282,1.425578,1.412609,1.4211,0,1.4211
"2011-05-13",1.423609,1.434,1.414207,1.423792,0,1.423792
"2011-05-16",1.407559,1.424603,1.405086,1.407796,0,1.407796
"2011-05-17",1.415809,1.422293,1.412549,1.415809,0,1.415809
"2011-05-18",1.4269,1.428653,1.419628,1.4269,0,1.4269
"2011-05-19",1.425618,1.430595,1.4211,1.425517,0,1.425517
"2011-05-20",1.431803,1.434391,1.414507,1.431619,0,1.431619
"2011-05-23",1.410875,1.413468,1.397604,1.410576,0,1.410576
"2011-05-24",1.403706,1.413308,1.400423,1.403666,0,1.403666
"2011-05-25",1.40992,1.411672,1.401797,1.4099,0,1.4099
"2011-05-26",1.408232,1.420495,1.407024,1.40849,0,1.40849
"2011-05-27",1.413108,1.430308,1.412829,1.413507,0,1.413507
"2011-05-30",1.42949,1.430554,1.425984,1.429736,0,1.429736
"2011-05-31",1.432418,1.442294,1.432418,1.432234,0,1.432234
"2011-06-01",1.442752,1.445776,1.438807,1.442793,0,1.442793
